index,page_name,likes_at_posting,followers_at_posting,type,likes,comments,shares,post_views,entities_identified,post_sponsored,post_age,page_age,positive_reactions,negative_reactions,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9,topic_10
8209,Indiegogo,523939,524844,video,40,11,10,43,"ORG,PERSON,ORDINAL",0,1676,5303,2,1,9.955752204635216e-05,0.5092024207115173,9.633896987999072e-05,3.0900841209099224e-05,9.246635364867722e-05,1.6478032992559138e-05,0.408951073884964,6.015371986933022e-05,3.176320254720697e-05,8.870458635382537e-05,1.6614332193066553e-05
8211,Kickstarter,1563647,1534567,video,40,1,19,9112,"WORK_OF_ART,DATE,PERSON,GPE",0,1676,4839,12,1,9.695720531420608e-05,9.620765553433994e-05,9.508727978082789e-05,0.6323676705360413,0.23597151041030884,9.069326551328658e-05,5.6185152050268e-05,2.9055120209652845e-05,0.07966269552707672,7.43546951689302e-05,3.2880086047576396e-05
8212,Indiegogo,523876,524783,video,15,2,5,16,"ORG,PERSON,PRODUCT",0,1677,5303,0,1,3.0334512270832915e-05,0.41708001494407654,0.5347789525985718,1.8255040313341865e-05,8.655832718670089e-05,8.780189418690914e-05,8.90114450019294e-05,6.766204518512888e-05,5.5952860222721826e-05,5.8455158048594484e-05,7.686561417401849e-05
8213,Indiegogo,523876,524783,video,91,9,13,106,"ORG,PRODUCT",0,1677,5303,13,2,4.402183370828503e-05,0.14767691493034363,6.955537323695104e-05,0.10450999438762665,6.705253107284321e-05,9.050229434776666e-05,4.6699179841803194e-05,0.08878393471240997,4.102476622945379e-05,3.178448015845669e-05,0.6272000074386597
8214,Indiegogo,523876,524783,video,383,100,92,25183,CARDINAL,0,1677,5303,45,1,0.018183229491114616,0.603641152381897,0.018183285370469093,0.23270690441131592,0.0181832704693079,0.018183892592787743,0.018184009939432144,0.018183700740337372,0.018183870241045952,0.018183229491114616,0.018183400854468346
8215,Kickstarter,1563454,1534380,video,15,1,2,9055,ORG,0,1678,4839,1,0,1.8639170818554067e-05,3.1059598990868545e-05,7.878307004649384e-05,7.879103564820673e-05,1.7642152399429276e-05,2.888797875263445e-05,0.1432410031557083,2.9597821272018553e-05,0.7823615074157715,3.522577059005176e-05,7.595182078715969e-05
8216,Indiegogo,523852,524759,video,28,16,13,31,"ORG,TIME",0,1678,5303,2,1,2.3733069183365903e-05,8.714037897278865e-05,6.849841516318869e-05,6.881729140572135e-05,4.9588107246276875e-05,5.829007996039802e-05,0.25065311789512634,5.861726802101165e-05,0.3995788097381592,0.30934780836105347,5.0178481184836754e-05
8217,Indiegogo,523852,524759,video,13,5,0,14,"ORG,CARDINAL,LOC,QUANTITY",0,1678,5303,0,1,6.261233905790841e-05,7.75015091814038e-05,0.10005921870470047,0.08262606710195541,4.0229135400939644e-05,0.16267067193984985,2.8842995904543775e-05,5.689037090398696e-05,0.6148512959480286,4.1546513195694353e-05,5.181730463592676e-05
8218,Kickstarter,1563454,1534380,link,25,39,13,40,"ORG,PERSON",0,1678,4839,3,12,9.469032053166079e-05,6.192238045922774e-05,9.911327504304365e-05,0.18185265362262726,0.20161132514476776,0.22083865106105804,0.23422345519065857,4.0430864965171784e-05,5.426546771038587e-05,8.858516183382728e-05,0.1293661743402481
8219,Indiegogo,523852,524759,video,109,3,11,23504,"CARDINAL,ORDINAL,ORG",1,1678,5303,4,1,5.1202762112904565e-05,0.37205857038497925,1.9141659727480963e-05,6.935583117001437e-05,1.1586811039033019e-05,0.5535200238227844,1.3655808393204933e-05,2.932211417891604e-05,2.6758001996294016e-05,6.305091758201418e-05,6.377130142326189e-05
