pledge_types,start_month,start_day,population,Person,Team,num_projects,num_backed,category_art,category_comics,category_crafts,category_dance,category_design,category_fashion,category_film_Video,category_food,category_games,category_journalism,category_music,category_photography,category_publishing,category_technology,category_theater,region_Africa,region_Asia,region_Europe,region_North America,region_Oceania,region_Other,region_South America,duration_<1 week,duration_1-2 weeks,duration_2 weeks - 1 month,duration_1-2 months,fb_likes,fb_comments,fb_shares,fb_positive_reactions,fb_negative_reactions,success,collection_ratio,num_backers
17,1,0,0.3386374714115682,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,8,1,0,0,0,1,1.016533333333334,4.912654885736052
8,1,2,0.06272558685575406,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,5,3,1,0,0,0,0.6352857142857138,5.1647859739235145
15,1,2,0.0025972190424310864,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,11,2,0,0,0,1,1.1167999999999993,4.941642422609304
12,1,2,0.054902337205859734,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,10,1,0,0,0,1,1.926400436535355,4.1588830833596715
8,1,6,0.01080648002521307,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,38,5,2,2,0,1,1.0533333333333328,4.912654885736052
6,1,5,0.1707989910289342,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,13,2,0,0,0,1,4.076999999999997,4.204692619390966
11,1,1,0.01878522762322912,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,9,3,0,3,0,1,1.548000000000001,4.663439094112067
3,1,1,0.010469582741645741,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,12,3,0,1,0,1,1.0549997924536132,2.6390573296152584
21,1,1,0.0018475576089649673,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,12,1,0,1,0,1,8.972000000000001,4.736198448394496
4,1,5,0.004798164783640295,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,18,1,0,0,0,1,4.044000000000002,5.318119993844216
